X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid
-75.70075507306575,2.142803790381943,74,4504,0,0,ALTAMIRA,CONCESION ANI,HUILA,2.14280379,-75.70075507,7900,23100,25900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/altamira.jpg,Pitalito - Garzón,8600,18200,2
-72.999641069962806,6.825626362501254,75,45A07,0,0,CUROS,CONCESION ANI,SANTANDER,6.82562636,-72.99964107,7600,26500,31000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/los_curos.jpg,San Gil - Bucaramanga,8300,21300,2
-75.074777382156213,6.536330315270337,76,6206,0,0,CISNEROS,CONCESION ANI,ANTIOQUIA,6.53633032,-75.07477738,7700,22700,25600,61300,70100,http://hermes.invias.gov.co/carreteras/images/peajes/cisneros.jpg,Cisneros - Alto de Dolores,8400,17900,2
-72.542427161263575,11.444779013413982,96,9010,0,0,ALTO PINO,CONCESION ANI,GUAJIRA,11.44477901,-72.54242716,8900,17700,25800,41600,52600,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Riohacha - Paraguachón,13800,11100,2
-75.435949552577483,9.430745196177508,119,25SC01,0,0,LA ESPERANZA,CONCESION ANI,SUCRE,9.4307452,-75.43594955,7700,22700,25600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/la_esperanza.jpg,Sincelejo - Toluviejo,8300,17900,2
-75.39905269048505,9.863519254070882,120,9005,0,0,SAN ONOFRE,CONCESION ANI,SUCRE,9.86351925,-75.39905269,11700,17300,31300,50000,57600,http://hermes.invias.gov.co/carreteras/images/peajes/san_onofre.jpg,San Onofre - María La Baja,17300,17300,2
-75.48482109574779,8.604856112307729,121,2514,0,0,CARIMAGUA,INVIAS,CORDOBA,8.60485611,-75.4848211,11100,16200,29400,46800,53900,http://hermes.invias.gov.co/carreteras/images/peajes/carimagua.jpg,Planeta Rica - La Ye,16200,16200,5
-75.659877095924713,6.046953760934253,122,6003,0,0,AMAGÁ,CONCESION ANI,ANTIOQUIA,6.04695376,-75.6598771,7600,22600,25500,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/amaga.jpg,La Mansa - Primavera,8300,17800,2
-73.440543756008552,7.118249042711134,123,6602,0,0,RÍO SOGAMOSO,CONCESION ANI,SANTANDER,7.11824904,-73.44054376,7900,23100,25900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/rio_sogamoso.jpg,Cruce Ruta 45 (La Fortuna) - Lebrija,8600,18200,2
-73.231108119590701,7.554331287343423,124,45A08,0,0,RÍO BLANCO,INVIAS,SANTANDER,7.55433129,-73.23110812,7900,23100,25900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/rio_blanco.jpg,Río Negro - San Alberto,8600,18200,5
